QID;W1;W2;Qtype;u1;u2;u3;u4;u5;u6;u7;u8;u9;u10;u11;u12
40;otomobil;taksi;Sim;2;7;9;8;0;9;5;3;8;6;7;6
41;çare;sos;Sim;0;5;0;0;0;0;0;0;0;1;0;6
42;evrensel;sos;Sim;0;0;0;0;0;0;0;0;0;1;0;6
43;viski;varlýk;Sim;0;0;0;2;0;1;0;0;0;3;0;4
44;alacaklanmak;tabure;Sim;0;0;0;0;0;2;0;0;0;1;0;0
45;sebze;enginar;Sim;0;3;4;6;0;5;3;3;5;6;2;6
46;damar;rahatsýz;Sim;0;0;0;1;0;1;1;0;3;1;0;0
47;öðrenci;yaðcýlýk;Sim;0;0;0;0;0;1;1;0;0;3;0;0
48;bitki;sebze;Sim;2;7;1;9;0;5;2;2;3;5;2;6
49;zarar;týmarhane;Sim;0;0;0;1;0;1;0;0;0;2;0;0
50;kelebek;eski;Sim;0;0;0;0;0;1;0;0;0;1;0;0
51;zaman;gündüz;Sim;1;4;0;4;0;5;3;1;3;5;0;4
52;meslek;polis;Sim;0;3;1;5;0;5;2;1;3;6;2;6
53;su;yaðmur;Sim;1;6;0;5;0;5;7;1;4;6;8;8
54;nefes;soyut;Sim;0;0;0;1;0;2;0;0;4;1;0;0
55;yedigen;aykýrý;Sim;0;0;0;0;0;2;0;0;0;1;0;0
56;titiz;pimpirikli;Sim;9;0;9;4;6;9;8;3;4;7;9;7
57;fotoðraf;karton;Sim;0;3;0;3;0;2;1;0;0;3;0;0
58;tutsak;serbest;Sim;0;0;0;0;0;0;0;0;3;0;0;0
59;fazlalýk;ýsýnmýþ;Sim;0;0;0;0;0;1;0;0;0;1;0;0
60;laikçiler;tepe;Sim;0;0;0;1;0;1;0;0;0;1;0;0
61;suçlu;baðýþlayýþý;Sim;0;0;0;0;0;2;1;0;0;2;0;0
62;serbest;radyo;Sim;0;0;0;0;0;1;0;0;0;1;0;0
63;uzun;týknaz;Sim;0;0;0;0;0;1;0;0;0;1;0;0
64;kan;pýhtý;Sim;1;5;0;3;0;5;4;2;4;4;1;6
65;delilim;ispatým;Sim;9;10;9;10;7;9;8;8;10;10;10;10
66;erkekçene;eksik;Sim;0;0;0;0;0;1;0;0;0;1;0;0
67;delilim;deli;Sim;0;0;6;0;0;1;0;0;0;1;0;0
68;üþengeç;üþengen;Sim;10;10;9;10;10;9;5;10;7;9;0;10
69;gül;dostçasýna;Sim;0;0;0;0;0;2;0;0;0;1;0;0
70;kum;karýnca;Sim;0;1;0;3;0;3;4;1;0;2;0;0
71;tutsak;köle;Sim;10;10;9;4;0;9;9;10;4;9;10;0
72;kazanç;aykýrý;Sim;0;0;0;0;0;1;0;0;0;1;0;0
73;içki;viski;Sim;1;10;1;6;2;5;5;1;5;5;1;9
74;üþengen;yedigen;Sim;0;0;0;0;0;1;0;0;0;1;0;0
75;mutfak;kahvaltý;Sim;0;3;0;4;1;5;4;1;2;4;0;0
76;çamaþýr;külot;Sim;4;10;1;6;8;5;4;1;5;5;2;6
77;yorgun;yorgunluk;Sim;0;1;7;8;9;9;9;7;3;6;0;0
78;transparan;kemik;Sim;0;0;0;0;0;1;0;0;0;1;0;0
79;muz;yoðurt;Sim;0;0;0;4;0;3;0;1;0;6;0;0
80;damar;kan;Sim;0;8;1;3;0;5;3;1;3;4;0;0
81;ilkellik;cenin;Sim;0;0;0;0;0;1;1;0;0;2;0;0
82;temiz;kirlice;Sim;0;1;0;0;0;1;0;0;0;1;0;0
83;modernite;öncülük;Sim;3;7;3;2;0;2;0;0;4;2;0;0
84;peþinatsýz;borçlanmak;Sim;0;5;0;1;0;2;1;1;0;1;0;6
85;öðrenci;kitap;Sim;0;4;0;2;0;3;2;1;0;4;0;1
86;mühendis;biliþim;Sim;0;5;0;3;0;3;4;1;3;4;0;5
87;zeki;çocuk;Sim;0;1;0;2;0;2;1;1;0;3;0;0
88;avare;baþýboþ;Sim;10;10;8;9;8;9;2;7;10;9;10;9
89;tren;inançlýlýk;Sim;0;0;0;0;0;1;0;0;0;1;0;0
90;mücevher;þahane;Sim;1;1;0;1;0;2;0;0;0;1;0;0
91;baþladýlarsa;bitirdilerse;Sim;0;0;0;0;0;1;0;0;0;0;0;0
92;keþiþ;köle;Sim;0;1;0;1;0;3;0;0;0;2;0;0
93;palto;ceket;Sim;7;5;5;7;7;8;9;5;4;7;10;7
94;oksijen;su;Sim;1;0;1;4;1;5;2;1;4;4;1;0
95;taþýt;tren;Sim;2;6;1;6;1;5;4;1;4;5;2;6
96;kýyý;tepe;Sim;0;0;0;1;0;2;3;0;0;5;0;0
97;adalet;vicdan;Sim;0;8;2;4;0;5;2;0;3;6;0;4
98;rahatsýz;alýþkýn;Sim;0;0;0;0;0;1;0;0;0;1;0;0
99;kavramsallaþtýrsýn;soyut;Sim;0;0;3;4;0;1;0;0;3;1;0;0
100;hayat;fani;Sim;1;0;0;1;0;7;3;1;3;3;0;0
101;ýslak;deniz;Sim;0;1;1;3;1;5;3;1;3;4;0;0
102;kitaplýklar;kitaphane;Sim;7;5;10;9;10;8;7;8;3;6;8;5
103;din;vicdan;Sim;3;3;1;2;0;5;0;0;3;4;0;0
104;brüt;çamaþýr;Sim;0;0;0;0;0;2;0;0;0;1;0;0
105;týknaz;þiddetli;Sim;0;0;0;0;0;2;0;0;0;2;0;0
106;yüreklicesine;gevþek;Sim;0;0;0;0;0;1;0;0;0;1;0;0
107;cenin;kuyumcu;Sim;0;0;0;0;0;0;0;0;0;2;0;0
108;gözlükçü;gözlük;Sim;0;4;6;3;2;4;7;3;0;4;0;0
109;affediþi;cezalandýrýþý;Sim;0;0;0;0;0;0;1;0;0;1;0;0
110;biliþim;sebze;Sim;0;0;0;0;0;1;0;0;0;2;0;0
111;iktidarcýlar;sabahlardaki;Sim;0;0;0;0;0;1;0;0;0;1;0;0
112;cinayetindeki;asosyalleþtirdikleri;Sim;0;0;0;0;0;1;0;0;0;1;0;0
113;zarar;kazanç;Sim;0;0;0;0;0;0;0;0;0;1;0;0
114;kuþ;turna;Sim;0;5;2;6;0;5;3;2;4;6;1;6
115;brüt;kesintili;Sim;0;0;0;2;0;0;0;1;0;1;0;0
116;borçlanmak;faiz;Sim;0;1;1;4;0;1;4;1;0;2;0;3
117;zaman;öðle;Sim;1;3;1;5;0;5;3;2;3;5;0;6
118;mücevher;sicim;Sim;1;0;0;0;0;1;0;0;0;2;0;0
119;külot;aile;Sim;0;0;0;0;0;1;0;0;0;2;0;0
120;mezarhane;mutfak;Sim;0;0;0;0;0;1;0;0;0;2;0;0
121;bitirdilerse;geceleyin;Sim;0;0;0;0;0;1;0;0;0;1;0;0
122;yoldaþ;delikanlý;Sim;1;0;2;2;0;3;0;0;0;2;0;0
123;ýslak;serin;Sim;1;0;2;1;0;3;0;0;3;6;0;5
124;barýnak;týmarhane;Sim;1;0;0;2;0;1;1;0;0;2;1;0
125;zarar;kadýn;Sim;0;0;0;0;0;1;0;0;0;2;0;0
126;atletik;avare;Sim;0;0;0;0;0;1;1;0;0;2;0;0
127;cansýz;yaþlýymýþçasýna;Sim;6;0;1;0;0;1;1;0;0;2;0;0
128;peynir;karton;Sim;0;0;0;0;0;1;0;0;0;2;0;0
129;süreli;süresiz;Sim;0;0;0;0;0;0;0;1;0;0;0;0
130;tutsak;özgür;Sim;0;0;0;0;0;0;0;1;0;0;0;0
131;gevþek;heykel;Sim;0;0;0;0;0;1;0;0;0;1;0;0
132;kamyon;sesteþ;Sim;0;0;0;0;0;0;0;0;0;1;0;0
133;yiyecek;sos;Sim;1;3;0;5;0;2;2;1;6;5;1;6
134;modernite;ilkellik;Sim;0;0;0;0;0;0;0;1;0;2;0;0
135;keþiþ;kahin;Sim;3;1;9;3;0;7;6;0;4;4;0;0
136;turna;uygulamak;Sim;0;0;0;0;0;1;0;0;0;1;0;0
137;ormanlýk;fotoðraf;Sim;0;0;0;1;0;1;1;0;0;2;0;0
138;sosyalleþtirdikleri;asosyalleþtirdikleri;Sim;0;0;0;0;0;0;0;1;0;0;0;0
139;cinayetindeki;kemik;Sim;0;0;0;0;0;1;1;0;0;1;0;0
140;masum;kuþku;Sim;0;0;0;0;0;2;1;1;0;1;0;0
141;delikanlý;büyücü;Sim;0;0;0;0;0;1;0;0;0;2;0;0
142;uzun;atletik;Sim;2;5;6;4;0;3;2;0;4;6;5;0
143;deniz;sahil;Sim;4;3;1;7;8;5;3;2;5;7;7;8
144;orman;meyve;Sim;0;0;0;4;0;2;3;0;4;2;0;2
145;hayat;nefes;Sim;2;1;6;4;0;4;5;0;3;3;1;8
146;mýzrap;tabure;Sim;0;0;0;0;0;1;0;0;0;2;0;0
147;sýcak;ýsýnmýþ;Sim;8;7;8;6;10;8;6;5;6;9;9;8
148;gülüþ;gülümseme;Sim;9;9;10;9;10;9;10;7;6;8;9;9
149;muz;gemicik;Sim;0;0;0;0;0;2;2;0;0;2;0;1
150;hukuk;hayat;Sim;0;0;0;0;0;1;2;0;0;2;0;0
151;evetçiler;hayýrcýlar;Sim;0;0;0;0;0;0;0;0;0;0;0;0
152;kamyon;manken;Sim;0;0;0;0;0;1;0;0;0;2;0;0
153;terazi;adalet;Sim;0;2;1;1;0;5;2;0;6;2;0;5
154;sarsýcý;gençmiþçesine;Sim;0;0;0;0;0;1;0;0;0;1;0;0
155;uzak;yakýn;Sim;0;0;0;0;0;0;0;0;0;0;0;0
156;dükkan;vitrin;Sim;0;1;1;5;0;6;3;0;6;4;1;1
157;nefes;oksijen;Sim;4;0;1;4;1;8;7;0;6;5;6;3
158;enginar;boza;Sim;1;0;0;1;0;1;1;0;0;5;0;0
159;giysi;külot;Sim;1;5;1;4;0;5;4;0;5;5;1;4
160;deneyimleme;pratikleþtirsin;Sim;0;0;5;2;0;7;1;0;6;2;0;0
161;sahil;ormanlýk;Sim;1;0;0;1;0;2;2;0;0;2;0;0
162;masum;öldürülüþündeki;Sim;0;0;0;0;0;1;1;0;0;1;0;0
163;siyah;petrol;Sim;0;0;1;1;0;2;2;0;0;3;0;0
164;haþarý;enerjik;Sim;3;0;6;3;0;8;3;0;6;7;2;4
165;teizm;müzik;Sim;0;0;0;0;0;1;0;0;0;2;0;0
166;para;faiz;Sim;0;0;1;3;0;4;4;1;6;6;1;0
167;normalleþiyor;sabahlardaki;Sim;0;0;0;0;0;1;0;0;0;1;0;0
168;atatürkçülerden;kemalizmcilerden;Sim;10;10;10;10;10;9;9;6;6;9;10;10
169;alkol;viski;Sim;3;8;1;7;1;5;4,933333333;2;5;6;1;9
170;muhalefetçiler;iktidarcýlar;Sim;0;0;0;0;0;0;0;1;0;0;0;0
171;horoz;tavuk;Sim;5;7;7;8;9;7;6;3;5;7;1;6
172;çerçeve;fotoðraf;Sim;3;5;1;5;0;5;4;1;5;4;2;0
173;süt;lokanta;Sim;0;0;0;2;0;1;3;0;4;3;0;0
174;tahta;tabure;Sim;0;0;2;4;0;2;3;0;5;3;0;0
175;kaðýt;karton;Sim;4;5;8;7;1;4;5;1;5;6;7;0
176;varlýk;para;Sim;5;5;8;5;8;5;6;0;5;4;2;3
177;ses;sesteþ;Sim;0;1;8;5;0;7;8;1;5;3;0;0
178;eksik;ilaç;Sim;0;0;0;0;0;1;0;0;0;1;0;0
179;eþya;cisim;Sim;4;4;8;7;0;9;3;6;5;7;2;7
180;haber;uzun;Sim;0;0;0;0;0;2;1;0;0;1;0;0
181;hayýrcýlar;barýþtýrýlýrken;Sim;0;0;0;0;0;1;0;0;0;1;0;0
182;pamuk;giysi;Sim;1;0;3;3;0;3;1;0;0;4;0;0
183;hamile;cenin;Sim;0;1;1;3;0;4;9;1;5;4;0;0
184;ispatým;almýþlardýr;Sim;0;0;0,6;0;0;1;0;0;0;1;0;0
185;süt;yoðurt;Sim;2;5;1;3;0;5;7;1;5;7;7;3
186;cansýz;enerjik;Sim;0;0;0;0;0;0;0;0;0;1;0;0
187;sahil;kum;Sim;0;1;1;3;0;6;7;0;5;4;0;4
188;ses;mýzrap;Sim;0;1;1;1;0;2;3;0;0;2;0;0
189;davadaþ;ebediyeten;Sim;0;0;3;0;0;1;1;0;0;1;0;0
190;bitki;çiçek;Sim;2;1;2;7;1;5;7;2;5;7;8;6
191;seyahat;sefer;Sim;5;0;6;6;8;6;7;2;7;7;6;7
192;yardým;aile;Sim;0;0;1;1;0;1;2;0;0;2;0;0
193;petrol;yakýt;Sim;5;7;1;6;1;7;8;0;6;6;9;7
194;þair;modernite;Sim;0;1;0;1;0;1;2;0;0;2;0;0
195;gevþek;sýký;Sim;0;0;0;0;0;0;0;0;0;0;0;0
196;cihaz;lamba;Sim;0;0;1;3;0;1;6;0;3;6;1;3
197;din;devlet;Sim;0;0;0;0;0;1;0;0;3;2;0;0
198;saldýrmaktaydýlar;suskunluðuna;Sim;0;0;0;0;0;1;0;0;0;1;0;0
199;nezle;yorgunluk;Sim;2;1;2;3;0;1;2;0;2;4;0;0
200;cevher;fotoðraf;Sim;0;0;0;0;0;1;0;0;0;2;0;0
201;uzak;karýnca;Sim;0;0;0;0;0;1;0;0;0;1;0;0
202;üþengeç;ebleh;Sim;2;0;1;0;0;1;0;0;0;2;1;0
203;yedigen;biçimlendirilmiþlerdir;Sim;0;0;0;2;0;1;0;0;0;1;0;0
204;bilimci;karýþýk;Sim;0;0;0;0;0;1;0;0;0;1;0;0
205;medya;sevgili;Sim;0;0;0;0;0;1;0;0;0;2;0;0
206;biçimlendirilmiþlerdir;iyiliyorsun;Sim;0;1;4;0;0;1;0;0;0;1;0;0
207;kýrmýzý;okul;Sim;0;0;0;0;0;1;0;0;0;1;0;0
208;gülümseme;somurtma;Sim;0;0;0;0;0;0;0;0;0;0;0;0
209;okul;kitaplýklar;Sim;1;0;4;3;0;1;1;0;2;4;0;0
210;atatürkçülerden;palto;Sim;0;0;0;0;0;1;1;0;0;1;0;0
211;kadeh;býçak;Sim;2;0;0;2;0;3;3;0;2;6;1;2
212;özgür;haber;Sim;0;0;1;2;0;5;1;0;0;1;0;0
213;palto;kapüþon;Sim;0;1;6;4;0;7;5;1;3;4;0;1
214;ibadet;namaz;Sim;4;2;5;5;1;8;9;1;7;6;2;1
215;soyut;somut;Sim;0;0;0;0;0;0;0;0;0;0;0;0
216;süresiz;ebediyeten;Sim;8;10;7;7;8;5;8;7;0;9;10;10
217;taþýt;kamyon;Sim;1;3;7;7;0;5;4;0;6;7;2;7
218;tren;yakýt;Sim;0;0;1;1;0;2;6;0;3;3;0;0
219;yoldaþ;keþiþ;Sim;1;0;1;5;0;5;0;0;0;2;0;0
220;horoz;sefer;Sim;0;0;0;0;0;1;0;0;0;2;0;0
221;tabure;çerçeve;Sim;1;0;0;1;0;1;0;0;0;3;0;1
222;kordon;gülümseme;Sim;0;0;0;0;0;1;0;0;0;1;0;0
223;zeki;akýllý;Sim;9;10;8;0;9;9;0;3;7;8;9;0
224;gençmiþçesine;yaþlýymýþçasýna;Sim;0;0;0;1;0;0;0;0;0;0;0;0
225;nezle;ilaç;Sim;0;1;1;2;0;3;2;0;6;2;0;0
226;ilaç;çare;Sim;3;1;8;3;0;7;3;5;6;8;8;0
227;devlet;para;Sim;0;0;1;1;0;2;2;0;0;3;0;0
228;kavramsallaþtýrsýn;çocuk;Sim;0;0;0;0;0;1;2;0;0;1;0;0
229;somurtma;kaðýt;Sim;0;0;0;0;0;1;0;0;0;1;0;0
230;evrensel;bilimci;Sim;0;0;1;0;0;1;0;0;0;1;0;0
231;barýnak;soðuk;Sim;0;0;0;1;0;1;2;0;0;1;0;0
232;ilaç;yakýt;Sim;0;0;1;0;0;2;2;0;0;2;0;0
233;evetçiler;yaðmur;Sim;0;0;0;0;0;1;0;0;0;1;0;0
234;baþlamadýlarsa;düzenci;Sim;0;0;0;0;0;1;0;0;0;1;0;0
235;devlet;memur;Sim;0;1;0;1;0;1;4;0;5;3;0;0
236;alkol;sofra;Sim;0;0;0;1;0;2;2;0;5;4;0;0
237;boza;manken;Sim;0;0;0;0;0;1;0;0;0;2;0;0
238;cevher;gözlükçü;Sim;0;0;0;0;0;1;2;0;0;2;0;0
239;anne;memur;Sim;0;0;0;0;0;1;0;0;0;2;0;0
240;oðlan;ilkellik;Sim;0;0;0;0;0;1;0;0;0;2;0;0
241;dostçasýna;arkadaþýmsý;Sim;7;1;8;5;7;8;6;5;4;7;9;3
242;dua;yüzük;Sim;0;0;0;0;0;1;0;0;0;2;0;0
243;opak;geçirgen;Sim;0;3;9;5;0;9;0;0;3;1;0;0
244;akýllý;deli;Sim;0;0;0;0;0;0;0;0;0;1;0;0
245;din;dua;Sim;0;3;2;3;0;7;6;0;7;4;0;3
246;saydam;süreli;Sim;0;0;0;0;0;1;0;0;0;2;0;0
247;yaðcýlýk;heykel;Sim;0;0;0;0;0;1;0;0;0;2;0;0
248;maymungilleri;muz;Sim;0;0;0;1;0;6;6;0;4;3;0;0
249;oksijen;hayat;Sim;1;0;1;0;0;5;5;0;6;3;2;4
250;hastane;çare;Sim;1;0;2;3;0;5;6;0;5;3;2;3
251;içki;boza;Sim;0;2;0;3;0;4;2,133333333;0;0;5;1;0
252;tahta;ahþap;Sim;5;9;2;8;9;7;5;5;5;7;9;7
253;kral;yaðcýlýk;Sim;0;0;0;2;0;1;5;0;0;2;0;0
254;teizm;inançlýlýk;Sim;9;1;0;0;10;9;5;0;4;7;9;9
255;kordon;sicim;Sim;3;3;0;2;0;6;7;0;0;7;5;9
256;fani;adalet;Sim;0;0;0;0;0;1;0;0;0;2;0;0
257;ikindi;oðlan;Sim;0;0;0;0;0;1;0;0;0;1;0;0
258;deneyimleme;tecrübelenme;Sim;9;8;9;8;8;9;9;9;6;7;10;9
259;satmýþlardýr;lokanta;Sim;0;0;0;0;0;1;0;0;0;1;0;0
260;kýrmýzý;namaz;Sim;0;0;0;0;0;1;0;0;0;1;0;0
261;mezarhane;kabristan;Sim;10;8;8;7;9;8;9;9;6;8;10;10
262;ekonomi;para;Sim;2;1;1;4;6;5;8;0;6;6;3;0
263;dua;namaz;Sim;3;1;5;3;0;6;9;0;6;7;3;7
264;arkadaþýmsý;kitaphane;Sim;0;0;0;0;0;1;2;0;0;1;0;0
265;enerjik;yorgun;Sim;0;0;0;0;0;0;0;0;0;1;0;0
266;kaðýt;gazete;Sim;3;1;1;1;1;2;1;0;5;6;3;0
267;cihaz;radyo;Sim;0;1;1;4;0;5;2;0;5;6;2;4
268;kral;affediþi;Sim;0;0;0;0;0;1;0;0;0;1;0;0
269;yeni;gençmiþçesine;Sim;0;0;0;4;0;1;1;0;4;2;0;3
270;öðrenci;hayta;Sim;0;0;1;1;0;3;3;0;0;2;0;0
271;araba;petrol;Sim;0;0;1;3;0;4;2;0;4;3;0;0
272;þiddetli;sarsýcý;Sim;4;5;7;6;7;3;2;7;7;8;10;9
273;su;deniz;Sim;2;0;2;3;1;4;5;0;7;7;6;7
274;baþlamadýlarsa;baþladýlarsa;Sim;0;0;0;0;0;0;0;0;0;0;0;0
275;normalleþiyor;anormalleþiyor;Sim;0;0;0;0;0;0;0;0;0;0;0;0
276;kan;kýrmýzý;Sim;0;0;1;1;1;4;5;0;4;4;0;2
277;beyaz;papatya;Sim;0;0;1;2;0;4;5;0;0;4;0;0
278;kýyý;ormanlýk;Sim;0;0;0;1;0;1;1;0;0;3;0;0
279;orman;kabristan;Sim;2;0;0;0;0;1;0;0;3;2;0;0
280;üþengen;harika;Sim;0;0;0;0;0;1;0;0;0;2;0;0
281;normalleþiyor;ýsýnmýþ;Sim;0;0;0;0;0;1;0;0;0;1;0;0
282;radyo;müzik;Sim;2;0;2;3;0;5;7;1;4;4;8;7
283;suçlu;masum;Sim;0;0;0;0;0;0;0;0;0;0;0;0
284;erkekçene;yüreklicesine;Sim;8;7;1;3;3;1;6;0;3;2;9;0
285;ýsýnmýþ;barýþtýrýlýrken;Sim;0;0;0;0;0;1;6;0;0;1;0;0
286;pratikleþtirsin;kavramsallaþtýrsýn;Sim;0;0;0;0;0;1;0;0;0;1;0;0
287;televizyon;cenin;Sim;0;0;0;0;0;1;0;0;0;2;0;0
288;pimpirikli;býçak;Sim;0;0;0;0;0;1;0;0;0;1;0;0
289;mezarlýk;ormanlýk;Sim;2;0;0;0;0;1;3;0;4;2;1;0
290;mutluluk;harika;Sim;0;0;7;4;0;1;2;0;7;3;0;0
291;hastane;rahatsýz;Sim;0;0;9;3;0;1;3;0;7;3;0;0
292;özgür;yardým;Sim;0;0;0;0;0;1;0;0;0;1;0;0
293;horultu;saray;Sim;0;0;0;0;0;1;0;0;0;2;0;0
294;üretim;sanatçý;Sim;0;0;0;2;0;1;2;0;5;4;0;0
295;peþinatsýz;ekonomi;Sim;0;0;0;0;0;1;1;0;4;2;0;0
296;mutfak;ocak;Sim;0;1;1;1;0;3;3;2;6;3;0;0
297;böcek;kelebek;Sim;0;1;2;4;1;3;4;1;5;5;2;2
298;çenebazlýðýna;geçirgen;Sim;0;0;0;0;0;1;0;0;0;1;0;0
299;geçirgen;cam;Sim;0;0;1;2;1;4;2;0;0;3;1;0
300;beyaz;külot;Sim;0;0;1;2;0;1;6;0;4;3;0;0
301;týmarhane;deli;Sim;0;0;4;2;0;5;5;0;8;4;0;0
302;muhalefetçiler;kemalci;Sim;8;0;0;2;0;7;2,4;0;0;6;0;0
303;savaþtýrýlýrken;cezalandýrýþý;Sim;0;0;4;0;0;1;2;0;0;1;0;0
304;zaman;ikindi;Sim;0;1;0;2;0;3;4;0;4;4;0;4
305;atatürkist;tecrübelenme;Sim;0;0;0;0;0;1;1;0;0;1;0;0
306;lamba;geceleyin;Sim;0;0;3;2;0;2;2;0;4;3;0;0
307;sabýr;sabýrsýzlýk;Sim;0;0;2;0;0;0;0;0;0;0;0;0
308;transparan;deneyimleme;Sim;0;0;0;0;0;1;0;0;0;1;0;0
309;haþarý;hayta;Sim;10;8;9;8;8;0;7;6;6;9;10;9
310;yiyecek;horoz;Sim;0;0;0;2;0;1;1;0;4;2;0;0
311;yoðurt;inançlýlýk;Sim;0;0;0;0;0;1;0;0;0;2;0;0
312;kýtlýklarda;bolluklarda;Sim;0;0;0;0;0;0;0;0;0;0;0;0
313;siyah;beyaz;Sim;0;0;0;0;0;0;0;0;0;0;0;0
314;otomobil;tren;Sim;3;4;1;5;0;3;8;0;5;7;8;4
315;mutluluk;sicim;Sim;0;0;0;0;0;1;0;0;0;2;0;0
316;fýrýn;ocak;Sim;10;9;8;3;8;9;3;3;7;8;9;3
317;ipek;kapüþon;Sim;0;0;0;2;0;2;3;0;0;3;0;0
318;savunmaktaydýlar;saldýrmaktaydýlar;Sim;0;0;0;7;0;0;0;0;0;5;0;0
319;bitki;enginar;Sim;0;1;2;6;0;5;2;1;5;5;2;6
320;hukuk;nezle;Sim;0;0;0;0;0;1;0;0;0;2;0;0
321;horultu;gürültü;Sim;4;0;7;6;6;8;5;1;5;7;7;6
322;süt;peynir;Sim;3;2;3;4;0;5;4;0;5;7;0;6
323;baðýþlayýþý;cezalandýrýþý;Sim;0;0;0;0;0;0;0;0;0;1;0;0
324;su;çiçek;Sim;0;0;0;2;0;2;0;0;3;4;0;0
325;taþýt;gemicik;Sim;1;0;1;4;0;5;4;0;5;5;1;6
326;yiyecek;meyve;Sim;1;0;2;6;0;5;2;0;5;6;1;6
327;kuþku;þüphe;Sim;10;10;10;9;10;9;10;7;5;9;10;10
328;çocuk;anne;Sim;2;2;4;2;0;2;5;0;3;6;0;0
329;iyiliyorsun;kötülüyorsun;Sim;0;0;0;0;0;0;0;0;0;0;0;0
330;þeffaf;saydam;Sim;0;10;9;9;8;9;10;10;7;10;10;10
331;teizm;çerçeve;Sim;0;0;0;0;0;1;0;0;0;2;0;0
332;anormalleþiyor;kapüþon;Sim;0;0;0;0;0;1;0,533333333;0;0;1;0;0
333;sevgili;mutluluk;Sim;1;0;9;4;0;1;0;3;3;3;0;0
334;delilim;televizyon;Sim;0;0;0;0;0;1;0;0;0;1;0;0
335;sofra;býçak;Sim;0;0;3;2;0;4;1;0;3;4;0;0
336;ipek;gömlek;Sim;0;1;2;3;0;4;5;0;3;3;0;0
337;sanatçý;heykel;Sim;0;1;1;2;0;5;3;0;3;3;0;0
338;medya;yaðcýlýk;Sim;1;0;1;0;0;1;0;0;3;3;0;0
339;din;ibadet;Sim;3;0;6;5;2;5;6;0;7;7;0;1
340;tutsak;yakýn;Sim;0;0;0;0;0;1;0;0;0;1;0;0
341;zarar;para;Sim;0;0;0;1;0;3;1;0;0;3;0;0
342;ateistlik;sekülerizmciler;Sim;9;0;2;4;0;1;3;0;0;2;0;0
